step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
92,0,0,0,0,0.1563498,0.1068318,0.001224114,0.1295712,0,0,0.0418308,0,0.0287132,0,0.03475181,0.218986,0.353242,0,0,0,0
93,0,0,0,0,0.05322925,0.1052552,0.001242596,0.1186369,0,0,0.01437787,0,0.0282936,0,0.03185129,0.2208088,0.3557926,0,0,0,0
94,0,0,0,0,0.1333193,0.106057,0.001288888,0.1151511,0,0,0.03574472,0,0.02850702,0,0.03092539,0.2250043,0.3578413,0,0,0,0
95,0,0,0,0,0.1721825,0.1078939,0.001348673,0.118822,0,0,0.04599993,0,0.02899581,0,0.03190044,0.2166698,0.3567916,0,0,0,0
96,0,0,0,0,0.1815596,0.1098848,0.001411715,0.1202153,0,0,0.04846347,0,0.02952543,0,0.03227036,0.2235925,0.3577869,0,0,0,0
97,0,0,0,0,0.08602243,0.1092569,0.001441584,0.1234693,0,0,0.02316491,0,0.02935841,0,0.0331339,0.222259,0.3571541,0,0,0,0
98,0,0,0,0,0.2108089,0.1118608,0.001514781,0.1310149,0,0,0.0561209,0,0.03005087,0,0.03513436,0.2214565,0.3553363,0,0,0,0
99,0,0,0,0,0.09318699,0.1113939,0.001547138,0.1355718,0,0,0.02507757,0,0.02992674,0,0.0363411,0.2177526,0.3551359,0,0,0,0
100,0,0,0,0,0.1253302,0.1117338,0.001590655,0.1354098,0,0,0.0336275,0,0.03001712,0,0.03629823,0.2246534,0.3606379,0,0,0,0
101,0,0,0,0,0.132638,0.1122316,0.00163671,0.1305976,0,0,0.03556428,0,0.03014944,0,0.03502378,0.2180034,0.3556739,0,0,0,0
102,0,0,0,0,0.1557038,0.1132425,0.001690774,0.1286722,0,0,0.04166042,0,0.03041818,0,0.03451356,0.2234369,0.3566667,0,0,0,0
103,0,0,0,0,0.1136072,0.1132508,0.001730221,0.1321172,0,0,0.03051511,0,0.03042039,0,0.03542634,0.2200965,0.3564318,0,0,0,0
104,0,0,0,0,0.07940871,0.1124988,0.001757793,0.1176771,0,0,0.02139704,0,0.03022048,0,0.0315964,0.2209167,0.3571231,0,0,0,0
105,0,0,0,0,0.1742517,0.1138412,0.001818297,0.1273557,0,0,0.04654391,0,0.03057731,0,0.03416459,0.2162201,0.3612613,0,0,0,0
106,0,0,0,0,0.1964683,0.1155993,0.001886516,0.1366285,0,0,0.05237162,0,0.03104446,0,0.03662079,0.2182441,0.3546524,0,0,0,0
107,0,0,0,0,0.07330348,0.1147181,0.001911968,0.1300677,0,0,0.01976317,0,0.03081033,0,0.03488338,0.2198963,0.3580281,0,0,0,0
108,0,0,0,0,0.1901139,0.1162568,0.00197798,0.1352516,0,0,0.05070718,0,0.03121915,0,0.03625633,0.2195551,0.3544846,0,0,0,0
109,0,0,0,0,0.06501436,0.1152319,0.002000554,0.1295799,0,0,0.01754189,0,0.03094687,0,0.03475412,0.2200791,0.3594952,0,0,0,0
110,0,0,0,0,0.1979383,0.1168536,0.002069283,0.1438715,0,0,0.0527564,0,0.03137769,0,0.03853646,0.2217259,0.3563177,0,0,0,0
111,0,0,0,0,0.05322925,0.1156301,0.002087765,0.1294459,0,0,0.01437787,0,0.03105265,0,0.03471861,0.2176264,0.3624437,0,0,0,0
112,0,0,0,0,0.1471956,0.1162257,0.002138875,0.1236248,0,0,0.03941477,0,0.03121088,0,0.03317514,0.2238827,0.3584184,0,0,0,0
113,0,0,0,0,0.1358787,0.1165896,0.002186055,0.1305989,0,0,0.03642234,0,0.03130756,0,0.03502413,0.2204779,0.3599224,0,0,0,0
114,0,0,0,0,0,0.1144698,0.002186055,0.1074086,0,0,0,0,0.03074435,0,0.02886669,0.2178139,0.3600951,0,0,0,0
115,0,0,0,0,0.169482,0.1154522,0.002244903,0.1208992,0,0,0.04528968,0,0.03100538,0,0.03245189,0.2173723,0.3593907,0,0,0,0
116,0,0,0,0,0.1370713,0.1158314,0.002292497,0.1150678,0,0,0.03673798,0,0.03110615,0,0.03090325,0.2235242,0.3614423,0,0,0,0
117,0,0,0,0,0.1960328,0.1172142,0.002360564,0.1315006,0,0,0.0522576,0,0.03147347,0,0.03526302,0.2154551,0.362047,0,0,0,0
118,0,0,0,0,0.1287051,0.117409,0.002405253,0.1289863,0,0,0.03452227,0,0.03152519,0,0.03459682,0.2230264,0.3639744,0,0,0,0
119,0,0,0,0,0.1409711,0.1178017,0.002454202,0.1295841,0,0,0.03776965,0,0.03162949,0,0.03475523,0.2248105,0.3627781,0,0,0,0
120,0,0,0,0,0.2360087,0.1197395,0.002536149,0.1564193,0,0,0.06268574,0,0.03214404,0,0.04184912,0.2194187,0.3615668,0,0,0,0
121,0,0,0,0,0.07940871,0.119089,0.002563722,0.1466266,0,0,0.02139704,0,0.03197134,0,0.03926447,0.2195636,0.3639866,0,0,0,0
122,0,0,0,0,0.05766256,0.118114,0.002583743,0.1367069,0,0,0.01556892,0,0.03171243,0,0.03664155,0.2207618,0.3620152,0,0,0,0
123,0,0,0,0,0.1670185,0.1188781,0.002641736,0.1347474,0,0,0.04464144,0,0.03191534,0,0.03612287,0.2187621,0.3631953,0,0,0,0
124,0,0,0,0,0.1654311,0.1195943,0.002699177,0.1391849,0,0,0.0442236,0,0.03210549,0,0.03729722,0.2175334,0.3627559,0,0,0,0
125,0,0,0,0,0.1525901,0.1200942,0.00275216,0.1402582,0,0,0.04083901,0,0.03223822,0,0.03758111,0.2158025,0.3636795,0,0,0,0
126,0,0,0,0,0.1788332,0.1209709,0.002814255,0.1338751,0,0,0.04774762,0,0.03247093,0,0.0358919,0.2209249,0.3605545,0,0,0,0
127,0,0,0,0,0.06501436,0.1201481,0.002836829,0.1320423,0,0,0.01754189,0,0.0322525,0,0.03540651,0.2204875,0.3636249,0,0,0,0
128,0,0,0,0,0.08264944,0.1196046,0.002865527,0.1333946,0,0,0.02226357,0,0.03210822,0,0.03576467,0.2181175,0.3632667,0,0,0,0
129,0,0,0,0,0.06766764,0.1188626,0.002889023,0.1220721,0,0,0.01825328,0,0.03191123,0,0.03276316,0.2185166,0.3682213,0,0,0,0
130,0,0,0,0,0.195998,0.1199491,0.002957077,0.1262536,0,0,0.05224852,0,0.03219967,0,0.03387237,0.2209863,0.3702943,0,0,0,0
131,0,0,0,0,0.0511421,0.1189934,0.002974835,0.1140761,0,0,0.0138168,0,0.03194595,0,0.03063972,0.2163347,0.3741706,0,0,0,0
132,0,0,0,0,0,0.1173634,0.002974835,0.09247569,0,0,0,0,0.03151308,0,0.02488779,0.2174354,0.3776802,0,0,0,0
133,0,0,0,0,0.1138188,0.1173155,0.003014356,0.09790076,0,0,0.03057136,0,0.03150036,0,0.02633458,0.2266158,0.385552,0,0,0,0
134,0,0,0,0,0.1283304,0.1174623,0.003058915,0.10352,0,0,0.03442296,0,0.03153937,0,0.02783163,0.2210326,0.3851005,0,0,0,0
135,0,0,0,0,0.1714814,0.1181731,0.003118457,0.1150241,0,0,0.04581556,0,0.03172813,0,0.03089164,0.2172034,0.3941107,0,0,0,0
136,0,0,0,0,0.1328943,0.1183643,0.003164601,0.1073062,0,0,0.03563217,0,0.0317789,0,0.02883944,0.2182219,0.398712,0,0,0,0
137,0,0,0,0,0.05766256,0.1175861,0.003184622,0.1078569,0,0,0.01556892,0,0.03157223,0,0.02898597,0.2219113,0.4020103,0,0,0,0
138,0,0,0,0,0,0.1160976,0.003184622,0.1057445,0,0,0,0,0.03117687,0,0.02842384,0.2216464,0.4050858,0,0,0,0
139,0,0,0,0,0.1009483,0.1159083,0.003219674,0.1047137,0,0,0.02714667,0,0.03112656,0,0.02814945,0.2191785,0.4138192,0,0,0,0
140,0,0,0,0,0.1732851,0.1166166,0.003279842,0.1094347,0,0,0.04628981,0,0.03131473,0,0.02940572,0.2240878,0.4171711,0,0,0,0
141,0,0,0,0,0.05766256,0.1158977,0.003299864,0.09683747,0,0,0.01556892,0,0.03112374,0,0.02605113,0.2261504,0.4197822,0,0,0,0
142,0,0,0,0,0.2038264,0.116957,0.003370637,0.105348,0,0,0.05429657,0,0.03140516,0,0.02831831,0.2210478,0.4288683,0,0,0,0
143,0,0,0,0,0.1567431,0.1174307,0.003425062,0.1165888,0,0,0.0419345,0,0.03153097,0,0.03130735,0.2198051,0.4363706,0,0,0,0
144,0,0,0,0,0.1755555,0.1181145,0.003486019,0.1380456,0,0,0.04688656,0,0.03171257,0,0.0369958,0.2249881,0.4393374,0,0,0,0
