step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
75,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
76,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
77,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
78,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
79,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
80,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
81,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
82,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
83,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
84,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
85,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
86,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
87,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
88,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
89,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
90,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
91,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
92,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
93,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
94,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
95,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
96,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
97,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
98,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
99,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
100,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
101,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
102,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
103,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
104,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
105,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
106,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
107,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
108,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
109,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
110,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
111,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
112,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
113,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
114,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
115,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
116,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
117,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
