t_s,co_ppm,no2_ppm,temp_c,rh_pct
1220,12.4,0.698,30.11,77.66
1225,12.9,0.619,30.1,77.69
1230,10.6,0.507,30.11,77.68
1235,14,0.644,30.15,77.68
1240,12.4,0.595,30.11,77.75
1245,12.9,0.67,30.14,77.58
1250,12.9,0.595,30.1,77.72
1255,11,0.698,30.11,77.63
1260,10.6,0.595,30.16,77.6
1265,11.5,0.619,30.08,77.62
1270,12.9,0.698,30.13,77.63
1275,13.5,0.698,30.11,77.61
1280,12.4,0.787,30.08,77.69
1285,11.5,0.67,30.11,77.61
1290,11.9,0.487,30.12,77.57
1295,11.9,0.549,30.08,77.57
1300,12.9,0.595,30.09,77.64
1305,12.9,0.67,30.13,77.57
1310,11.5,0.527,30.13,77.59
1315,13.5,0.571,30.11,77.54
1320,13.5,0.619,30.07,77.59
1325,14,0.527,30.11,77.58
1330,11.9,0.549,30.08,77.56
1335,12.9,0.644,30.09,77.64
1340,11,0.644,30.1,77.51
1345,11.5,0.644,30.1,77.57
1350,12.9,0.644,30.05,77.48
1355,11.9,0.571,30.08,77.52
1360,11,0.67,30.06,77.46
1365,13.5,0.698,30.08,77.56
1370,11.9,0.571,30.08,77.49
1375,11.9,0.595,30.06,77.45
1380,13.5,0.619,30.06,77.45
1385,10.6,0.595,30.09,77.59
1390,12.4,0.67,30.11,77.56
1395,10.2,0.67,30.11,77.51
1400,11,0.595,30.08,77.56
1405,12.4,0.549,30.11,77.48
1410,12.9,0.571,30.08,77.48
1415,11.9,0.595,30.06,77.59
1420,11,0.619,30.08,77.45
1425,13.5,0.507,30.07,77.46
1430,12.9,0.595,30.1,77.39
1435,12.9,0.549,30.02,77.46
1440,11.5,0.549,30.06,77.47
1445,11.5,0.619,30.07,77.53
1450,10.2,0.644,30.1,77.44
1455,11.5,0.595,30.06,77.38
1460,11.5,0.571,30.07,77.56
1465,12.4,0.595,30.05,77.42
1470,11.5,0.571,30.04,77.45
1475,9,0.619,30.07,77.57
1480,11.9,0.549,30.06,77.49
1485,11.5,0.571,30.11,77.44
1490,12.4,0.571,30.07,77.44
1495,11.9,0.595,30.07,77.45
1500,11.9,0.595,30.1,77.43
1505,13.5,0.571,30.05,77.49
1510,13.5,0.507,30.06,77.46
1515,11,0.644,30.09,77.48
1520,12.4,0.619,30.06,77.46
1525,11.5,0.644,30.09,77.47
1530,11.9,0.595,30.06,77.46
1535,10.6,0.449,30.06,77.46
1540,11.5,0.644,30.09,77.44
1545,12.4,0.527,30.04,77.4
1550,11.5,0.487,30.07,77.41
1555,11,0.468,30.03,77.42
1560,11.9,0.571,30.05,77.4
1565,11,0.571,30.06,77.41
1570,13.5,0.644,30.08,77.54
1575,11.9,0.619,30.06,77.54
1580,11.9,0.619,30.12,77.41
1585,11.5,0.67,30.09,77.44
1590,11,0.595,30.05,77.41
1595,11.5,0.644,30.09,77.45
1600,11.9,0.595,30.05,77.41
1605,11,0.67,30.04,77.39
1610,11.9,0.549,30.05,77.38
1615,11,0.595,30.06,77.38
1620,11.5,0.595,30.05,77.38
1625,12.9,0.619,30.06,77.39
1630,12.4,0.619,30.04,77.39
1635,10.2,0.487,30.01,77.44
1640,11,0.507,30.04,77.35
1645,9.8,0.595,30.06,77.38
1650,12.4,0.619,30.08,77.43
1655,11.9,0.619,30.07,77.38
1660,12.4,0.619,30.02,77.38
1665,12.4,0.571,30.02,77.36
1670,11,0.644,30.07,77.41
1675,11,0.644,30.04,77.43
1680,9,0.571,30.01,77.33
1685,12.9,0.67,30.05,77.46
1690,11,0.487,30.04,77.35
1695,10.2,0.571,30.03,77.44
1700,10.6,0.595,30.03,77.35
1705,9.4,0.468,30.05,77.39
1710,11.9,0.595,30.02,77.35
1715,11.9,0.595,30.08,77.34
1720,11,0.487,30.04,77.39
1725,11.9,0.698,30.05,77.46
1730,12.4,0.67,30,77.35
1735,10.6,0.571,30.03,77.4
1740,11,0.619,30.07,77.42
1745,10.6,0.571,30.02,77.24
1750,11.5,0.468,30.06,77.29
1755,11,0.487,30.01,77.4
1760,11.5,0.595,30.05,77.47
1765,11.9,0.595,30.01,77.41
1770,11.5,0.507,30,77.47
1775,10.6,0.595,30.03,77.49
1780,11,0.67,30.08,77.5
1785,10.6,0.549,30.04,77.61
1790,11.9,0.698,30,77.46
1795,10.2,0.487,30.04,77.62
1800,11,0.549,30.07,77.63
1805,9.8,0.644,30.05,77.67
1810,11,0.619,30.03,77.68
1815,10.6,0.549,30.03,77.63
1820,11.9,0.595,30.05,77.84
1825,9.8,0.507,30.04,77.89
1830,10.6,0.698,30.02,77.98
1835,10.6,0.644,30,78.03
1840,10.2,0.698,30,77.91
1845,11,0.571,30.04,78.13
1850,11.9,0.756,30.03,78.21
1855,11.9,0.67,30.03,78.2
1860,11.9,0.756,30.07,78.21
1865,12.4,0.726,30.03,78.3
1870,12.4,0.595,30.05,78.22
1875,12.4,0.726,29.98,78.46
1880,11.9,0.756,29.98,78.31
1885,11.5,0.67,30.06,78.44
1890,11.9,0.787,30.05,78.54
1895,11.5,0.819,30.04,78.54
1900,9.8,0.726,30.04,78.6
1905,11.5,0.726,30.02,78.76
1910,11.9,0.756,30.05,78.62
1915,10.6,0.852,30.02,78.78
1920,11.9,0.923,30.03,78.86
1925,11.5,0.787,30.05,78.87
1930,9.4,0.961,30.02,79
1935,10.2,0.923,30.06,79.02
1940,10.2,0.961,30.06,79
1945,11,0.961,30.01,79.1
1950,11.5,0.961,30.04,79.16
1955,12.4,0.961,29.99,79.22
1960,11.9,1.128,30.04,79.2
1965,11.5,1,30.03,79.21
1970,11,1,30.07,79.28
1975,11,0.852,30.02,79.4
1980,11,1.128,30.04,79.36
1985,9,1.083,30.02,79.45
1990,11.5,1.041,30.03,79.42
1995,9.8,1.083,30.05,79.58
2000,10.2,1.174,30.06,79.58
2005,9.4,1.041,30.04,79.68
2010,10.6,1.128,30.03,79.71
2015,9.8,1.174,30.03,79.66
2020,11.9,1.221,30.04,79.73
2025,11,1.128,30.06,79.8
2030,10.6,1.128,30.04,79.88
2035,9.4,1.221,30.06,79.8
2040,11.5,1.271,30.06,79.95
2045,11,1.377,30.05,79.99
2050,10.2,1.377,30.02,79.99
2055,9.8,1.323,30.06,80.02
2060,11,1.377,30.07,80.15
2065,10.2,1.433,30.09,80.16
2070,11,1.271,30.07,80.16
2075,10.2,1.377,30.04,80.2
2080,10.6,1.377,30.03,80.3
2085,10.2,1.433,30.04,80.3
2090,11.5,1.271,30.05,80.33
2095,11.5,1.433,30.03,80.42
