t_s,co_ppm,no2_ppm,temp_c,rh_pct
1480,0,0.278,28.41,66.01
1485,0,0,28.42,65.9
1490,0,0,28.41,66.13
1495,7.1,0,28.39,66.05
1500,5.2,0,28.43,66.08
1505,0,0,28.41,66.1
1510,0,0,28.42,66.04
1515,6.3,0.247,28.43,66.05
1520,0,0,28.44,65.99
1525,0,0.289,28.44,65.95
1530,0,0.237,28.43,65.95
1535,9.4,0.21,28.42,65.99
1540,0,0.228,28.43,65.99
1545,0,0.237,28.41,66.07
1550,5.4,0,28.42,65.9
1555,5.4,0,28.45,65.95
1560,0,0.115,28.44,65.99
1565,6.8,0.102,28.45,65.89
1570,0,0.383,28.44,66
1575,5.4,0.179,28.44,65.9
1580,5.2,0,28.48,65.91
1585,0,0,28.45,66
1590,0,0,28.45,65.96
1595,9,0,28.47,65.95
1600,0,0,28.46,65.89
1605,7.7,0,28.46,65.93
1610,0,0.368,28.45,65.91
1615,8,0,28.45,65.98
1620,0,0,28.44,65.88
1625,0,0,28.48,65.89
1630,7.7,0.368,28.48,65.85
1635,5.6,0,28.45,65.91
1640,6.3,0,28.47,65.94
1645,7.7,0,28.44,65.85
1650,9,0,28.44,65.84
1655,6.6,0.159,28.47,65.87
1660,5.8,0,28.48,65.86
1665,5.6,0,28.5,65.9
1670,6.6,0.368,28.5,65.94
1675,7.4,0,28.49,65.91
1680,6.6,0.21,28.48,65.88
1685,6.3,0,28.47,65.89
1690,6,0,28.49,65.92
1695,6.8,0,28.47,65.87
1700,6.6,0.368,28.46,65.93
1705,0,0,28.49,65.88
1710,9,0,28.47,65.94
1715,6,0,28.5,65.84
1720,6.3,0.172,28.44,65.85
1725,6.6,0.247,28.53,65.92
1730,5.6,0.13,28.5,65.73
1735,0,0.153,28.46,65.77
1740,0,0.172,28.51,65.93
1745,6.8,0,28.5,65.91
1750,9.8,0.247,28.49,65.79
1755,10.6,0.12,28.49,65.85
1760,8.7,0,28.49,65.88
1765,7.4,0,28.48,65.78
1770,10.2,0,28.51,65.88
1775,7.4,0,28.48,65.85
1780,9,0.186,28.51,65.82
1785,14,0.141,28.5,65.67
1790,11.5,0.179,28.51,65.72
1795,7.4,0,28.51,65.81
1800,8.7,0.194,28.54,65.81
1805,7.1,0.228,28.52,65.81
1810,10.2,0,28.54,65.78
1815,11.5,0.267,28.5,65.76
1820,0,0,28.52,65.76
1825,8.7,0,28.52,65.8
1830,12.4,0.115,28.5,65.79
1835,11,0.278,28.55,65.78
1840,10.2,0,28.52,65.76
1845,6.8,0,28.5,65.76
1850,7.4,0,28.54,65.76
1855,9.4,0,28.53,65.64
1860,10.6,0.353,28.53,65.72
1865,11,0,28.52,65.71
1870,12.9,0.21,28.54,65.74
