step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
82,0,0.8771938,0.007005367,nan,0,0.04621414,0.0003690712,nan,0,0,0,0.03579688,0.01249118,0,0,-0.4546396,0.1939648,0,0,0,0
83,0,0.840644,0.007005367,nan,0,0.04428855,0.0003690712,nan,0,0,0,0.03432295,0.01197287,0,0,-0.4550273,0.1923569,0,0,0,0
84,0,0.8070183,0.007005367,nan,0.06501436,0.04511758,0.0003916457,nan,0,0,0.01754189,0.03296559,0.01219604,0,0,-0.4581921,0.1952922,0,0,0,0
85,2.682778,0.8791629,0.007936887,nan,0,0.04338229,0.0003916457,nan,0,0.1067972,0,0.03587625,0.01172887,0,0,-0.4568442,0.1905313,0,0,0,0
86,0,0.8466013,0.007936887,nan,0.2601299,0.05140998,0.0004819686,nan,0,0,0.06894176,0.03456329,0.01388882,0,0,-0.461276,0.1941412,0,0,0,0
87,0,0.8163655,0.007936887,nan,0,0.04957391,0.0004819686,nan,0,0,0,0.03334304,0.01339509,0,0,-0.4513329,0.1920231,0,0,0,0
88,2.906219,0.8884294,0.008945991,nan,0,0.04786446,0.0004819686,nan,0,0.1153454,0,0.03624968,0.01293525,0,0,-0.4490975,0.194607,0,0,0,0
89,0,0.8588151,0.008945991,0.9072713,0,0.04626898,0.0004819686,0.05155014,0,0,0,0.03505592,0.01250594,0.03700869,0.0139265,-0.4507381,0.1955202,0,0,0,0
90,3.024824,0.9286864,0.009996277,1.276972,0,0.04477643,0.0004819686,0.04432632,0,0.1198624,0,0.03787087,0.01210421,0.05182114,0.01198304,-0.4519393,0.1907931,0,0,0,0
91,3.410479,1.006242,0.01118047,1.359314,0.1839397,0.04912529,0.0005458365,0.06543786,0,0.1344528,0.0490881,0.040989,0.01327442,0.05509964,0.01765546,-0.4490282,0.1937672,0,0,0,0
92,0,0.9757502,0.01118047,1.359314,0,0.04763664,0.0005458365,0.03460269,0,0,0,0.03976387,0.01287396,0.05509964,0.009362892,-0.447491,0.1884154,0,0,0,0
93,6.377306,1.134619,0.01339481,2.138762,0,0.04623556,0.0005458365,0.03343527,0,0.242019,0,0.04613563,0.01249695,0.08577043,0.009047996,-0.4487157,0.1906981,0,0,0,0
94,0,1.102202,0.01339481,1.815849,0.08602243,0.04737233,0.0005757054,0.0430668,0,0,0.02316491,0.04483774,0.01280284,0.07314301,0.01164392,-0.4503278,0.1913646,0,0,0,0
95,2.906219,1.152313,0.01440392,2.171053,0,0.04605643,0.0005757054,0.04198914,0,0.1153454,0,0.04684354,0.01244874,0.08702711,0.01135369,-0.4564436,0.1900757,0,0,0,0
96,0,1.12117,0.01440392,1.797068,0.204033,0.05032607,0.0006465502,0.06692651,0,0,0.0543506,0.04559729,0.01359737,0.07240517,0.0180546,-0.4503561,0.1902821,0,0,0,0
97,0,1.091665,0.01440392,1.418126,0.09318699,0.05145399,0.0006789068,0.05787828,0,0,0.02507757,0.04441564,0.01390066,0.05743673,0.01562686,-0.4493515,0.1904967,0,0,0,0
98,0,1.063674,0.01440392,1.380231,0,0.05013466,0.0006789068,0.05787828,0,0,0,0.04329369,0.0135459,0.05593131,0.01562686,-0.448503,0.1895964,0,0,0,0
99,3.549664,1.125824,0.01563644,1.10549,0,0.04888129,0.0006789068,0.05787828,0,0.1396825,0,0.04578359,0.01320879,0.04496942,0.01562686,-0.4481612,0.1884985,0,0,0,0
